predictors_amp_n_ 1,predictors_amp_n_ 2,predictors_amp_n_ 3,predictors_amp_n_ 4,predictors_amp_n_ 5,predictors_amp_n_ 6,predictors_amp_n_ 7,predictors_amp_n_ 8,predictors_amp_n_ 9,predictors_amp_n_10,predictors_amp_n_11,predictors_amp_n_12,predictors_amp_n_13,predictors_amp_n_14,predictors_amp_n_15,predictors_amp_n_16,predictors_amp_n_17,predictors_amp_n_18,predictors_amp_n_19,predictors_amp_n_20,Var2
1,0,5.2839,2.6766,0.004027,0.00045465,0.64575,0.0099983,1.6797,0.036249,1.0522,0.00077646,0.03665,0.037605,0.0078527,0.011407,0,0,0.15592,1,NaN
2,0,8.5053,4.9778,0.01207,0.00025421,1.8006,0.0098364,1.7202,0.046272,1.6009,0.0012578,0.011995,0.031476,0.0032548,0.027658,0,0,0.13193,1,NaN
3,0,32.562,5.6123,0.030972,0.00019181,0.53313,0.02226,1.8867,0.071404,3.2563,0.00042764,0.011841,0.02525,0.0046983,0.028225,0,0,0.13311,1,NaN
4,0,15.309,22.091,0.0079663,0.00019904,3.9209,0.026144,1.5584,0.054515,1.6045,0.0004551,0.012332,0.023837,0.0017081,0.016238,0,0,0.11912,1,NaN
5,0,68.35,14.46,0.19976,0.00013541,2.6476,0.062747,3.0284,0.10164,2.3966,0.00085872,0.014378,0.018297,0.0025875,0.0142,0,0,0.1065,1,NaN
6,0,35.125,39.716,0.0087212,9.24E-05,0.76918,0.011658,2.1546,0.05082,2.0664,0.00053668,0.024352,0.026854,0.0017686,0.010796,0,0,0.072013,1,NaN
7,0,74.841,45.709,0.12783,0.00010939,1.2472,0.049636,4.8444,0.072757,4.2986,0.00071157,0.019653,0.015874,0.0029478,0.015587,0,0,0.06754,1,NaN
8,0,38.751,31.242,0.022206,0.0010404,1.012,0.0095075,3.717,0.18002,3.4401,0.00076393,0.32627,0.061169,0.019334,0.017068,0,0,0.040813,1,NaN
9,0,28.14,62.22,0.027859,0.00058996,2.002,0.65167,2.3811,0.19099,5.7332,0.0033609,0.035837,0.035304,0.0030509,0.014112,0,0,0.044521,1,NaN
10,0,39.192,54.562,0.14201,0.0002869,0.42422,0.043495,12.51,0.13803,6.0174,0.00068603,0.02084,0.017852,0.002451,0.010491,0,0,0.085047,1,NaN
11,0,9.8331,27.034,0.035749,0.00029446,18.439,0.084224,7.9233,0.12835,2.8149,0.00038643,0.022469,0.081787,0.00093069,0.011691,0,0,0.046264,1,NaN
12,0,0.19111,23.738,0.055911,0.0010736,26.636,34.014,3.9291,0.16555,1.122,0.00024372,0.0072757,0.028914,0.0018024,0.019081,0,0,0.28144,1,NaN
13,0,1.1322,22.425,0.012576,0.00066629,42.945,42.271,1.9633,0.11681,1.5585,0.00015733,0.0053266,0.014945,0.00079363,0.016095,0,0,0.14954,1,0.76693
14,0,0.22335,26.119,0.085341,0.00049034,12.331,6.6659,1.4742,0.16224,2.0816,0.001523,0.0083371,0.02174,0.00069063,0.010807,0,0,0.25498,1,131.73
15,0,0.63211,39.678,0.51481,0.00061721,4.058,19.804,3.3871,0.10479,1.7425,0.0010666,0.0092576,0.013578,0.0015257,0.019544,0,0,0.40235,1,131.08
16,0,3.4293,94.373,58.725,0.017489,69.151,97.226,16.029,6.1968,1.5623,0.0044191,35.505,1.1714,14.374,0.81186,0,0,0.49853,1,71.81
